Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
1,29,430.529,0,1,1,1738,0,0,21.8371,1,1,0,0,0,1,1,0,0,0,0,11152,1,1,18.9521,1,1,0,0,0,1,1,0,0,0,0
2,29,486.487,0,1,1,2382,0,0,21.7597,1,1,0,0,0,1,1,0,0,0,0,13777,0,1,18.826,1,1,0,0,0,1,1,0,0,0,0
3,29,104.043,0,1,1,5800,0,0,24.5665,1,1,0,0,0,1,1,0,0,0,0,12294,0,1,20.5882,1,1,0,0,0,1,1,0,0,0,0
4,29,120.687,0,1,1,10286,1,0,18.0457,1,1,0,0,0,1,1,0,0,0,0,11555,0,1,25.7433,1,1,0,0,0,1,1,0,0,0,0
5,29,128.773,0,1,1,11050,0,0,22.5396,1,1,0,0,0,1,1,0,0,0,0,13190,0,1,21.2325,1,1,0,0,0,1,1,0,0,0,0
6,29,1206.68,0,1,1,13388,0,0,23.3391,1,1,0,0,0,1,1,0,0,0,0,5775,0,1,18.7412,1,1,0,0,0,1,1,0,0,0,0
7,29,52.2283,0,1,1,15275,0,0,25.4961,1,1,0,0,0,1,1,0,0,0,0,16885,0,1,24.6156,1,1,0,0,0,1,1,0,0,0,0
8,29,71.2536,0,1,1,16615,0,0,18.9092,1,1,0,0,0,1,1,0,0,0,0,9940,0,1,19.9646,1,1,0,0,0,1,1,0,0,0,0
9,29,237.127,0,1,1,17358,0,0,38.6653,1,1,0,0,0,1,1,0,0,0,0,5111,0,1,35.3258,1,1,0,0,0,1,1,0,0,0,0
10,29,614.483,0,1,1,11133,0,0,30.2206,1,1,0,0,0,1,1,0,0,0,0,15334,0,1,26.1751,1,1,0,0,0,1,1,0,0,0,0
11,29,268.133,0,1,1,12394,0,0,36.613,1,1,0,0,0,1,1,0,0,0,0,14176,0,1,36.2274,1,1,0,0,0,1,1,0,0,0,0
12,29,280.805,0,1,1,15005,0,0,19.8615,1,1,0,0,0,1,1,0,0,0,0,6526,0,1,20.7007,1,1,0,0,0,1,1,0,0,0,0
13,29,324.146,0,1,1,16657,0,0,17.0833,1,1,0,0,0,1,1,0,0,0,0,1524,0,1,21.243,1,1,0,0,0,1,1,0,0,0,0
14,29,191.833,0,1,1,16837,0,0,38.0333,1,1,0,0,0,1,1,0,0,0,0,3205,0,1,34.8332,1,1,0,0,0,1,1,0,0,0,0
15,29,64.227,0,1,1,4,0,0,25.0539,1,1,0,0,0,1,1,0,0,0,0,12119,0,1,29.0294,1,1,0,0,0,1,1,0,0,0,0
16,29,208.18,0,1,1,2191,0,0,30.6217,1,1,0,0,0,1,1,0,0,0,0,7591,0,1,23.3944,1,1,0,0,0,1,1,0,0,0,0
17,29,208.909,0,1,1,2598,0,0,26.2942,1,1,0,0,0,1,1,0,0,0,0,17020,0,1,22.7062,1,1,0,0,0,1,1,0,0,0,0
18,29,433.807,0,1,1,3163,0,0,28.4095,1,1,0,0,0,1,1,0,0,0,0,1687,0,1,21.9565,1,1,0,0,0,1,1,0,0,0,0
19,29,420.326,0,1,1,4901,0,0,25.3534,1,1,0,0,0,1,1,0,0,0,0,15408,0,1,18.1146,1,1,0,0,0,1,1,0,0,0,0
20,29,103.435,0,1,1,11085,0,0,34.4198,1,1,0,0,0,1,1,0,0,0,0,11678,0,1,34.1596,1,1,0,0,0,1,1,0,0,0,0
21,29,107.662,0,1,1,12334,0,0,22.0551,1,1,0,0,0,1,1,0,0,0,0,11045,0,1,18.4451,1,1,0,0,0,1,1,0,0,0,0
