Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
1,0,12555,0,1,1,4,0,0,22.839,1,1,0,0,0,1,1,1,0,0,0,49,0,1,16.5326,1,1,0,0,0,1,1,1,0,0,0
2,0,1637.47,0,1,1,4,0,0,22.839,2,2,0,0,0,2,2,1,0,0,0,13,0,1,22.738,1,1,0,0,0,1,1,1,0,0,0
3,0,16593.8,0,1,1,5,0,0,16.6186,1,1,0,0,0,1,1,1,0,0,0,49,0,1,16.5326,2,2,0,0,0,2,2,1,0,0,0
4,0,4713.22,0,1,1,5,0,0,16.6186,2,2,0,0,0,2,2,1,0,0,0,18,0,1,20.0068,1,1,0,0,0,1,1,1,0,0,0
5,0,7688.28,0,1,1,5,0,0,16.6186,3,3,0,0,0,3,3,1,0,0,0,150,0,1,21.5417,1,1,0,0,0,1,1,1,0,0,0
6,0,11652.9,0,1,1,12,0,0,39.5016,1,1,0,0,0,1,1,1,0,0,0,14,0,1,25.5959,1,1,0,0,0,1,1,1,0,0,0
7,0,5724.09,0,1,1,17,0,0,32.9648,1,1,0,0,0,1,1,1,0,0,0,13,0,1,22.738,2,2,0,0,0,2,2,1,0,0,0
8,0,5280.89,0,1,1,17,0,0,32.9648,2,2,0,0,0,2,2,1,0,0,0,50,0,1,34.0958,1,1,0,0,0,1,1,1,0,0,0
9,0,6015.84,0,1,1,24,0,0,39.6716,1,1,0,0,0,1,1,1,0,0,0,74,0,1,30.2963,1,1,0,0,0,1,1,1,0,0,0
10,0,2126.36,0,1,1,27,0,0,24.4432,1,1,0,0,0,1,1,1,0,0,0,49,0,1,16.5326,3,3,0,0,0,3,3,1,0,0,0
11,0,3993.58,0,1,1,46,0,0,24.8982,1,1,0,0,0,1,1,1,0,0,0,3,0,1,18.0839,1,1,0,0,0,1,1,1,0,0,0
12,0,5170.91,0,1,1,46,0,0,24.8982,2,2,0,0,0,2,2,1,0,0,0,49,0,1,16.5326,4,4,0,0,0,4,4,1,0,0,0
13,0,394.024,0,1,1,47,0,0,25.0567,1,1,0,0,0,1,1,1,0,0,0,3,0,1,18.0839,2,2,0,0,0,2,2,1,0,0,0
14,0,3450.19,0,1,1,47,0,0,25.0567,2,2,0,0,0,2,2,1,0,0,0,13,0,1,22.738,3,3,0,0,0,3,3,1,0,0,0
15,0,250.934,0,1,1,47,0,0,25.0567,3,3,0,0,0,3,3,1,0,0,0,150,0,1,21.5417,2,2,0,0,0,2,2,1,0,0,0
16,0,4447.96,0,1,1,52,0,0,35.7819,1,1,0,0,0,1,1,1,0,0,0,74,0,1,30.2963,2,2,0,0,0,2,2,1,0,0,0
17,0,4498.68,0,1,1,52,0,0,35.7819,2,2,0,0,0,2,2,1,0,0,0,13,0,1,22.738,4,4,0,0,0,4,4,1,0,0,0
18,0,8537.96,0,1,1,52,0,0,35.7819,3,3,0,0,0,3,3,1,0,0,0,150,0,1,21.5417,3,3,0,0,0,3,3,1,0,0,0
19,0,10881.7,0,1,1,52,0,0,35.7819,4,4,0,0,0,4,4,1,0,0,0,25,0,1,27.6787,1,1,0,0,0,1,1,1,0,0,0
20,0,10399.7,0,1,1,59,0,0,37.2371,1,1,0,0,0,1,1,1,0,0,0,13,0,1,22.738,5,5,0,0,0,5,5,1,0,0,0
21,0,8322.18,0,1,1,60,0,0,21.4851,1,1,0,0,0,1,1,1,0,0,0,57,0,1,18.3597,1,1,0,0,0,1,1,1,0,0,0
22,0,7034.08,0,1,1,60,0,0,21.4851,2,2,0,0,0,2,2,1,0,0,0,14,0,1,25.5959,2,2,0,0,0,2,2,1,0,0,0
23,0,4873.98,0,1,1,60,0,0,21.4851,3,3,0,0,0,3,3,1,0,0,0,150,0,1,21.5417,4,4,0,0,0,4,4,1,0,0,0
24,0,16260.7,0,1,1,60,0,0,21.4851,4,4,0,0,0,4,4,1,0,0,0,230,0,1,20.009,1,1,0,0,0,1,1,1,0,0,0
25,0,13627.6,0,1,1,66,0,0,26.3945,1,1,0,0,0,1,1,1,0,0,0,142,0,1,25.3105,1,1,0,0,0,1,1,1,0,0,0
26,0,1694.29,0,1,1,66,0,0,26.3945,2,2,0,0,0,2,2,1,0,0,0,78,0,1,23.3447,1,1,0,0,0,1,1,1,0,0,0
27,0,1282.46,0,1,1,91,0,0,19.3566,1,1,0,0,0,1,1,1,0,0,0,84,0,1,16.8506,1,1,0,0,0,1,1,1,0,0,0
28,0,1265.07,0,1,1,91,0,0,19.3566,2,2,0,0,0,2,2,1,0,0,0,93,0,1,24.518,1,1,0,0,0,1,1,1,0,0,0
29,0,7147.27,0,1,1,91,0,0,19.3566,3,3,0,0,0,3,3,1,0,0,0,95,0,1,18.0959,1,1,0,0,0,1,1,1,0,0,0
30,0,1482.83,0,1,1,102,0,0,19.5822,1,1,0,0,0,1,1,1,0,0,0,314,0,1,21.7029,1,1,0,0,0,1,1,1,0,0,0
31,0,2899.64,0,1,1,102,0,0,19.5822,2,2,0,0,0,2,2,1,0,0,0,142,0,1,25.3105,2,2,0,0,0,2,2,1,0,0,0
32,0,14674.1,0,1,1,105,0,0,29.4881,1,1,0,0,0,1,1,1,0,0,0,314,0,1,21.7029,2,2,0,0,0,2,2,1,0,0,0
33,0,6909.66,0,1,1,113,0,0,29.191,1,1,0,0,0,1,1,1,0,0,0,142,0,1,25.3105,3,3,0,0,0,3,3,1,0,0,0
34,0,4326.5,0,1,1,113,0,0,29.191,2,2,0,0,0,2,2,1,0,0,0,301,0,1,26.166,1,1,0,0,0,1,1,1,0,0,0
35,0,948.409,0,1,1,114,0,0,25.0539,1,1,0,0,0,1,1,1,0,0,0,149,0,1,23.5251,1,1,0,0,0,1,1,1,0,0,0
36,0,7093.71,0,1,1,114,0,0,25.0539,2,2,0,0,0,2,2,1,0,0,0,340,0,1,21.5682,1,1,0,0,0,1,1,1,0,0,0
37,0,6087.92,0,1,1,115,0,0,26.8203,1,1,0,0,0,1,1,1,0,0,0,340,0,1,21.5682,2,2,0,0,0,2,2,1,0,0,0
38,0,10263.3,0,1,1,115,0,0,26.8203,2,2,0,0,0,2,2,1,0,0,0,236,0,1,19.3007,1,1,0,0,0,1,1,1,0,0,0
39,0,6625.65,0,1,1,125,0,0,24.5945,1,1,0,0,0,1,1,1,0,0,0,478,0,1,20.256,1,1,0,0,0,1,1,1,0,0,0
40,0,4134.89,0,1,1,126,0,0,16.0241,1,1,0,0,0,1,1,1,0,0,0,84,0,1,16.8506,2,2,0,0,0,2,2,1,0,0,0
41,0,8788.99,0,1,1,126,0,0,16.0241,2,2,0,0,0,2,2,1,0,0,0,236,0,1,19.3007,2,2,0,0,0,2,2,1,0,0,0
42,0,10177.2,0,1,1,135,0,0,18.5347,1,1,0,0,0,1,1,1,0,0,0,236,0,1,19.3007,3,3,0,0,0,3,3,1,0,0,0
43,0,2655.58,0,1,1,135,0,0,18.5347,2,2,0,0,0,2,2,1,0,0,0,149,0,1,23.5251,2,2,0,0,0,2,2,1,0,0,0
44,0,5088.25,0,1,1,138,0,0,18.3786,1,1,0,0,0,1,1,1,0,0,0,257,0,1,18.9676,1,1,0,0,0,1,1,1,0,0,0
45,0,7397.25,0,1,1,138,0,0,18.3786,2,2,0,0,0,2,2,1,0,0,0,161,0,1,24.2706,1,1,0,0,0,1,1,1,0,0,0
46,0,95.8766,0,1,1,138,0,0,18.3786,3,3,0,0,0,3,3,1,0,0,0,478,0,1,20.256,2,2,0,0,0,2,2,1,0,0,0
47,0,5327.02,0,1,1,144,0,0,24.4023,1,1,0,0,0,1,1,1,0,0,0,257,0,1,18.9676,2,2,0,0,0,2,2,1,0,0,0
48,0,1626.18,0,1,1,145,0,0,33.4776,1,1,0,0,0,1,1,1,0,0,0,76,0,1,30.4471,1,1,0,0,0,1,1,1,0,0,0
49,0,5765.57,0,1,1,146,0,0,25.0366,1,1,0,0,0,1,1,1,0,0,0,161,0,1,24.2706,2,2,0,0,0,2,2,1,0,0,0
50,0,4134.87,0,1,1,146,0,0,25.0366,2,2,0,0,0,2,2,1,0,0,0,257,0,1,18.9676,3,3,0,0,0,3,3,1,0,0,0
51,0,2227.65,0,1,1,155,0,0,24.8103,1,1,0,0,0,1,1,1,0,0,0,478,0,1,20.256,3,3,0,0,0,3,3,1,0,0,0
52,0,7173.93,0,1,1,166,0,0,30.9438,1,1,0,0,0,1,1,1,0,0,0,478,0,1,20.256,4,4,0,0,0,4,4,1,0,0,0
