Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
1,0,554.998,0,1,1,2098,0,0,32.8247,1,1,0,0,0,1,1,0,0,0,0,15898,0,1,29.5006,1,1,0,0,0,1,1,0,0,0,0
2,0,139.232,0,1,1,7023,0,0,28.7801,1,1,0,0,0,1,1,8,0,0,0,13150,0,1,23.049,1,1,0,0,0,1,1,0,0,0,0
3,0,428.675,0,1,1,10717,0,0,26.664,1,1,0,0,0,1,1,8,0,0,0,8151,0,1,21.775,1,1,0,0,0,1,1,0,0,0,0
4,0,706.993,0,1,1,11360,0,0,24.553,1,1,0,0,0,1,1,0,0,0,0,6115,0,1,15.2654,1,1,0,0,0,1,1,0,0,0,0
5,0,216.89,0,1,1,12342,0,0,22.9757,1,1,0,0,0,1,1,15,0,0,0,8190,0,1,15.3479,1,1,0,0,0,1,1,0,0,0,0
6,0,545.494,1,1,1,829,0,0,41.1341,1,0,1,0,0,1,1,0,0,0,0,14865,0,1,40.2057,1,0,1,0,0,1,1,12,0,0,0
7,0,791.179,1,1,1,13543,0,0,22.4816,1,0,1,0,0,1,1,12,0,0,0,2751,0,1,18.0455,1,0,1,0,0,1,1,0,0,0,0
8,0,555.266,1,1,1,14559,0,0,33.7044,1,0,1,0,0,1,1,12,0,0,0,3086,0,1,26.9627,1,0,1,0,0,1,1,0,0,0,0
9,0,919.929,1,1,1,14777,0,0,20.7188,1,0,1,0,0,1,1,0,0,0,0,10231,0,1,17.4963,1,0,1,0,0,1,1,8,0,0,0
10,0,216.117,3,1,1,1096,0,0,47.1333,1,0,0,0,1,1,1,0,0,0,0,2299,0,1,14.3585,1,0,0,0,1,1,1,8,0,0,0
11,0,359.99,3,1,1,1487,0,0,35.8128,1,0,0,0,1,1,1,8,0,0,0,9045,0,1,27.9081,1,0,0,0,1,1,1,0,0,0,0
12,0,583.379,3,1,1,11736,0,0,52.5422,1,0,0,0,1,1,1,0,0,0,0,8995,0,1,20.926,1,0,0,0,1,1,1,0,0,0,0
13,1,70.9342,0,1,1,11186,1,0,16.6941,1,1,0,0,0,1,1,0,0,0,0,13681,1,1,16.7777,1,1,0,0,0,1,1,0,0,0,0
14,1,261.656,0,1,1,13943,1,0,20.9917,1,1,0,0,0,1,1,0,0,0,0,6765,1,1,17.109,1,1,0,0,0,1,1,0,0,0,0
15,1,762.798,1,1,1,7175,0,0,47.6675,1,0,1,0,0,1,1,12,0,0,0,7974,0,1,44.4124,1,0,1,0,0,1,1,0,0,0,0
16,1,1324.98,1,1,1,12774,0,0,70.4359,1,0,1,0,0,1,1,8,0,0,0,5662,0,1,42.6238,1,0,1,0,0,1,1,14,0,0,0
17,1,855.634,1,1,1,16345,0,0,51.7992,1,0,1,0,0,1,1,0,0,0,0,410,0,1,38.6827,1,0,1,0,0,1,1,12,0,0,0
