Year,Node_ID,Event_Name,Individual_ID,Age,Gender,Infected,Infectiousness
1960.5,1,FirstCoitalAct,2473,8036.08,M,0,0
1960.5,1,FirstCoitalAct,11490,5898.91,F,0,0
1960.5,1,FirstCoitalAct,8508,13414.1,M,0,0
1960.5,1,FirstCoitalAct,4543,9246.17,F,0,0
1960.5,1,FirstCoitalAct,13745,6456.34,M,0,0
1960.5,1,FirstCoitalAct,14779,5880.85,F,0,0
1960.5,1,STIDebut,1830,6012.62,F,0,0
1960.5,1,FirstCoitalAct,434,10519.5,M,0,0
1960.5,1,FirstCoitalAct,9814,6252.05,F,0,0
1960.5,1,FirstCoitalAct,557,6553.07,M,0,0
1960.5,1,FirstCoitalAct,5878,6834.67,F,0,0
1960.5,1,FirstCoitalAct,872,11475.1,M,0,0
1960.5,1,FirstCoitalAct,14279,7717.92,F,0,0
1960.5,1,FirstCoitalAct,939,14891.5,M,0,0
1960.5,1,FirstCoitalAct,8663,9179.31,F,0,0
1960.5,1,FirstCoitalAct,3541,12514.3,M,0,0
1960.5,1,FirstCoitalAct,6074,11073.6,F,0,0
1960.5,1,FirstCoitalAct,3852,10842.8,M,0,0
1960.5,1,FirstCoitalAct,10147,11261.4,F,0,0
1960.5,1,FirstCoitalAct,8266,10778.1,M,0,0
1960.5,1,FirstCoitalAct,15473,10528.6,F,0,0
1960.5,1,FirstCoitalAct,8548,14515.2,M,0,0
1960.5,1,FirstCoitalAct,4150,8556.88,F,0,0
1960.5,1,FirstCoitalAct,8802,9852.08,M,0,0
1960.5,1,FirstCoitalAct,12909,8216.81,F,0,0
1960.5,1,FirstCoitalAct,10679,15060.6,M,0,0
1960.5,1,FirstCoitalAct,8281,11704.5,F,0,0
1960.5,1,FirstCoitalAct,12645,11202.2,M,0,0
1960.5,1,FirstCoitalAct,5463,7872.7,F,0,0
1960.5,1,FirstCoitalAct,14912,6355.14,M,0,0
1960.5,1,FirstCoitalAct,13884,7032.19,F,0,0
1960.5,1,FirstCoitalAct,15734,6181.17,M,0,0
1960.5,1,FirstCoitalAct,12472,8799.4,F,0,0
1960.51,1,FirstCoitalAct,463,15635.9,M,0,0
1960.51,1,FirstCoitalAct,2157,10189,F,0,0
1960.51,1,FirstCoitalAct,3004,16288.6,M,0,0
1960.51,1,FirstCoitalAct,16832,11262.2,F,0,0
1960.51,1,FirstCoitalAct,3475,13240.9,M,0,0
1960.51,1,FirstCoitalAct,11381,11607,F,0,0
1960.51,1,FirstCoitalAct,5979,16290,M,0,0
1960.51,1,FirstCoitalAct,7443,10449,F,0,0
1960.51,1,FirstCoitalAct,6058,6225.1,M,0,0
1960.51,1,FirstCoitalAct,1670,5801.58,F,0,0
1960.51,1,FirstCoitalAct,7119,14031,M,0,0
1960.51,1,FirstCoitalAct,902,13023.1,F,0,0
1960.51,1,FirstCoitalAct,7911,6621.83,M,0,0
1960.51,1,FirstCoitalAct,8605,8462.37,F,0,0
1960.51,1,FirstCoitalAct,8835,12247.9,M,0,0
1960.51,1,FirstCoitalAct,6451,8491.65,F,0,0
1960.51,1,FirstCoitalAct,9958,6383.81,M,0,0
1960.51,1,FirstCoitalAct,15419,6141.95,F,0,0
1960.51,1,FirstCoitalAct,10369,6240.76,M,0,0
1960.51,1,FirstCoitalAct,1830,6013.62,F,0,0
1960.51,1,FirstCoitalAct,14197,17342.5,M,0,0
1960.51,1,FirstCoitalAct,3671,20830.2,F,0,0
1960.51,1,FirstCoitalAct,14387,15008.1,M,0,0
1960.51,1,FirstCoitalAct,15166,11306.9,F,0,0
1960.51,1,FirstCoitalAct,14695,8966.25,M,0,0
1960.51,1,FirstCoitalAct,6298,9366.34,F,0,0
1960.51,1,FirstCoitalAct,14834,8563.68,M,0,0
1960.51,1,FirstCoitalAct,4006,6919.48,F,0,0
1960.51,1,FirstCoitalAct,14894,16157.7,M,0,0
1960.51,1,FirstCoitalAct,4961,14700,F,0,0
1960.51,1,FirstCoitalAct,385,9814,M,0,0
1960.51,1,FirstCoitalAct,11123,9004.49,F,0,0
1960.51,1,FirstCoitalAct,1976,7135.75,M,0,0
1960.51,1,FirstCoitalAct,1627,7077.23,F,0,0
1960.51,1,FirstCoitalAct,2116,12796.1,M,0,0
1960.51,1,FirstCoitalAct,8267,9621.51,F,0,0
1960.51,1,FirstCoitalAct,3766,7148.54,M,0,0
1960.51,1,FirstCoitalAct,15317,6951.96,F,0,0
1960.51,1,FirstCoitalAct,5427,14872.3,M,0,0
1960.51,1,FirstCoitalAct,9502,10810.8,F,0,0
1960.51,1,FirstCoitalAct,6131,12486.2,M,0,0
1960.51,1,FirstCoitalAct,2794,9885.33,F,0,0
1960.51,1,FirstCoitalAct,6267,14176.7,M,0,0
1960.51,1,FirstCoitalAct,9665,13373.9,F,0,0
1960.51,1,FirstCoitalAct,7463,10896.5,M,0,0
1960.51,1,FirstCoitalAct,8859,9523.04,F,0,0
1960.51,1,FirstCoitalAct,7674,7905.92,M,0,0
1960.51,1,FirstCoitalAct,4726,6439.47,F,0,0
1960.51,1,FirstCoitalAct,8226,14955.1,M,0,0
1960.51,1,FirstCoitalAct,5058,13064.9,F,0,0
1960.51,1,FirstCoitalAct,8371,13555.9,M,0,0
1960.51,1,FirstCoitalAct,12477,8519.67,F,0,0
1960.51,1,FirstCoitalAct,11518,6392.72,M,0,0
1960.51,1,FirstCoitalAct,13423,6247.28,F,0,0
1960.51,1,FirstCoitalAct,11789,10563,M,0,0
1960.51,1,FirstCoitalAct,2748,10541.1,F,0,0
1960.51,1,FirstCoitalAct,14119,7885.02,M,0,0
1960.51,1,FirstCoitalAct,8286,6824.02,F,0,0
1960.51,1,FirstCoitalAct,15529,8825.61,M,0,0
1960.51,1,FirstCoitalAct,14301,7274.63,F,0,0
1960.51,1,FirstCoitalAct,15752,12094.5,M,0,0
1960.51,1,FirstCoitalAct,5330,13433.6,F,0,0
1960.51,1,FirstCoitalAct,15910,9330.53,M,0,0
